# wavelength [micron], EQE [1]
5.645290581162325516e-01,2.596393017468964226e-01
5.689378757515030083e-01,2.524790263455422012e-01
5.733466933867735760e-01,2.443509765917972476e-01
5.777555110220440326e-01,2.342035472644414806e-01
5.821643286573146003e-01,2.229874732239627011e-01
5.865731462925851680e-01,2.135565453500652411e-01
5.909819639278557357e-01,2.082832033926838022e-01
5.953907815631263034e-01,2.054187506481092718e-01
5.997995991983968711e-01,2.026054367078430340e-01
6.042084168336674388e-01,2.000469907946545445e-01
6.086172344689378955e-01,1.975459667565931943e-01
6.130260521042084632e-01,1.950088078672069236e-01
6.174348697394789198e-01,1.924753425095711012e-01
6.218436873747494875e-01,1.888335225535838213e-01
6.262525050100200552e-01,1.823572912032004889e-01
6.306613226452906229e-01,1.725426714587136312e-01
6.350701402805611906e-01,1.630429845715546944e-01
6.394789579158317583e-01,1.555439830072713470e-01
6.438877755511022150e-01,1.499335379176068017e-01
6.482965931863727826e-01,1.437792331452079075e-01
6.527054108216432393e-01,1.389480373042140116e-01
6.571142284569138070e-01,1.318884531392135739e-01
6.615230460921843747e-01,1.187374966447042879e-01
6.659318637274549424e-01,1.035388473227637218e-01
6.703406813627255101e-01,8.710027078297725989e-02
6.747494989979960778e-01,6.915642855706824466e-02
6.791583166332666455e-01,5.246720235956034428e-02
6.835671342685371021e-01,3.993010202033646372e-02
6.879759519038076698e-01,2.943426170677332018e-02
6.923847695390781265e-01,1.989633954987442277e-02
6.967935871743486942e-01,1.124493382448993675e-02
7.012024048096192619e-01,4.085936592273142938e-03
7.056112224448898296e-01,-2.091679225856356674e-16
7.100200400801603973e-01,-5.219777490375309890e-17
7.144288577154309650e-01,-1.562431839045654805e-16
7.188376753507014216e-01,-1.039415634484899253e-16
7.232464929859719893e-01,1.555933719843192737e-16
7.276553106212425570e-01,-4.140548535189581290e-16
7.320641282565130137e-01,-0.000000000000000000e+00
7.364729458917835814e-01,-5.154484436498866936e-17
7.408817635270541491e-01,-2.057601467801501138e-16
7.452905811623247168e-01,-3.080486005005471853e-16
7.496993987975952844e-01,2.562411055499246467e-16
7.541082164328658521e-01,1.023227632895858681e-16
7.585170340681363088e-01,4.085899565035295481e-16
7.629258517034068765e-01,-1.019794337559243685e-16
7.673346693386773332e-01,5.091200093892711850e-17
7.717434869739479009e-01,-3.419462337471656045e-21
7.761523046092184686e-01,2.538631040168445080e-16
7.805611222444890362e-01,-1.014129184490302225e-16
