# wavelength [micron], T [1], R_f [1], R_b [1]
5.513026052104208485e-01,5.066088009432673234e-01,6.746931248099863332e-02,4.067693048705467440e-02
5.557114228456914162e-01,5.148336690049709619e-01,5.843636828470491484e-02,4.278832108213713459e-02
5.601202404809619839e-01,5.140383500332433853e-01,5.375794167254784733e-02,4.930543293471529448e-02
5.645290581162325516e-01,4.993612795111094238e-01,5.646326119590434206e-02,6.201974633185691060e-02
5.689378757515030083e-01,4.751613384560804954e-01,6.844264594655526113e-02,8.183551388722561104e-02
5.733466933867735760e-01,4.391337330599491273e-01,8.585951242725230192e-02,1.035516113323965981e-01
5.777555110220440326e-01,4.025438019267527090e-01,1.027913088753781706e-01,1.212521280955236314e-01
5.821643286573146003e-01,3.686822000323302095e-01,1.163146564454372867e-01,1.335459774014335355e-01
5.865731462925851680e-01,3.373534177633251141e-01,1.250308528877504821e-01,1.404762632893939989e-01
5.909819639278557357e-01,3.084144583847561183e-01,1.279769990987033035e-01,1.420164680919054623e-01
5.953907815631263034e-01,2.812975445280896380e-01,1.256754069325344558e-01,1.387665346009643863e-01
5.997995991983968711e-01,2.567697012922440236e-01,1.198729677069829136e-01,1.321357359451187374e-01
6.042084168336674388e-01,2.359977232504455735e-01,1.119308431016898392e-01,1.238743775246341772e-01
6.086172344689378955e-01,2.174733270214324610e-01,1.027330673133400457e-01,1.145490905420012695e-01
6.130260521042084632e-01,2.022517569428921580e-01,9.378719675298562153e-02,1.057748027400253477e-01
6.174348697394789198e-01,1.917342461646536489e-01,8.561067869991915991e-02,9.811956000129296029e-02
6.218436873747494875e-01,1.846341634495638484e-01,7.809962019395087773e-02,9.117520520424821084e-02
6.262525050100200552e-01,1.798048894205309667e-01,7.154816787187344429e-02,8.519533304838208809e-02
6.306613226452906229e-01,1.778205073449289353e-01,6.634480299122944014e-02,8.101738225528148929e-02
6.350701402805611906e-01,1.728708229117985884e-01,6.326804544876557523e-02,8.070286421597129556e-02
6.394789579158317583e-01,1.611000471219407315e-01,6.542530067989964226e-02,8.893601241498771959e-02
6.438877755511022150e-01,1.430613044045620785e-01,7.899277728712597590e-02,1.138223240047005758e-01
6.482965931863727826e-01,1.160280366804583851e-01,1.057667623185045286e-01,1.526571994095564377e-01
6.527054108216432393e-01,8.441369175860830021e-02,1.541267530403790387e-01,2.099058569577388900e-01
6.571142284569138070e-01,4.835809269788923781e-02,2.191804677363728970e-01,2.708434088091081215e-01
6.615230460921843747e-01,2.478955082569120685e-02,2.782381536883842266e-01,3.099307311719058933e-01
6.659318637274549424e-01,1.289679241484547462e-02,3.198413162179020719e-01,3.238800485009190044e-01
6.703406813627255101e-01,5.919240034151076156e-03,3.592945766084716941e-01,3.293907795491262114e-01
6.747494989979960778e-01,2.541509642529710383e-03,3.871031648908859202e-01,3.202587338124069927e-01
6.791583166332666455e-01,1.096783259739862477e-03,4.096493369405747598e-01,3.075974306838974437e-01
6.835671342685371021e-01,4.715895475161688104e-04,4.136423018005149776e-01,2.828781616722763070e-01
6.879759519038076698e-01,2.367453111625395391e-04,4.124534286748106071e-01,2.605750899403291299e-01
6.923847695390781265e-01,1.290200692274377282e-04,4.055382786536084194e-01,2.392648898759250908e-01
6.967935871743486942e-01,7.503775196181422036e-05,3.947651043056495945e-01,2.208989095332045682e-01
7.012024048096192619e-01,4.871536708556871258e-05,3.818116876030812068e-01,2.069498668718670609e-01
7.056112224448898296e-01,3.447045397662860819e-05,3.648883919847731305e-01,1.958495495544356479e-01
7.100200400801603973e-01,2.841714875044295865e-05,3.455548847215377806e-01,1.880595428871189856e-01
7.144288577154309650e-01,2.558194702811634902e-05,3.184786978575786520e-01,1.794879242109244377e-01
7.188376753507014216e-01,2.585684860917760583e-05,2.919807180486905795e-01,1.743611805866964459e-01
7.232464929859719893e-01,2.830383547295024888e-05,2.680343333077800372e-01,1.728741258015042415e-01
7.276553106212425570e-01,3.381556761608069822e-05,2.437372745133148944e-01,1.732564911852504386e-01
7.320641282565130137e-01,4.443933975132349605e-05,2.205466908579847563e-01,1.752875153860967705e-01
7.364729458917835814e-01,6.432061396799992913e-05,1.977029615615174540e-01,1.782759351605458786e-01
7.408817635270541491e-01,1.014295164684382279e-04,1.739679900881614671e-01,1.822465451034059325e-01
7.452905811623247168e-01,1.664599397511656246e-04,1.539824400808513516e-01,1.866764694046454398e-01
7.496993987975952844e-01,2.938838465747288758e-04,1.341500141471125007e-01,1.916247315197094347e-01
7.541082164328658521e-01,5.086420234874373773e-04,1.167246888306053137e-01,1.974288842241478104e-01
7.585170340681363088e-01,9.561023787337357945e-04,1.001836290096426579e-01,2.030481601735164843e-01
7.629258517034068765e-01,1.652381244081768110e-03,8.652111303521692331e-02,2.095511399656259377e-01
7.673346693386773332e-01,2.751531457688639361e-03,7.506467398595606522e-02,2.162488553200222763e-01
7.717434869739479009e-01,4.827983650243877073e-03,6.494573367518371998e-02,2.226397291691559477e-01
7.761523046092184686e-01,8.616623040797763075e-03,5.653694862033782631e-02,2.290680320027608241e-01
7.805611222444890362e-01,1.373511713694416242e-02,5.058110075808494588e-02,2.358529523838863717e-01
7.849699398797596039e-01,2.237522654066788005e-02,4.617102392642065400e-02,2.427389720605403201e-01
7.893787575150301716e-01,3.303109143073442583e-02,4.406476572683436926e-02,2.499149597814554757e-01
7.937875751503007393e-01,4.901937684725691385e-02,4.453843358203885688e-02,2.574248010876558079e-01
7.981963927855711960e-01,6.816146704352210595e-02,4.840530910182835878e-02,2.651729377033304469e-01
8.026052104208416527e-01,9.086968899945770117e-02,5.603157524585060389e-02,2.730877726444024822e-01
8.070140280561122204e-01,1.173500443830570450e-01,6.731573673616414455e-02,2.809366015475684986e-01
8.114228456913827880e-01,1.454885035238012159e-01,8.062694454938215682e-02,2.882674913645422721e-01
8.158316633266533557e-01,1.733784756991307574e-01,9.375770564259015838e-02,2.947563092309444799e-01
8.202404809619239234e-01,2.035265693763193828e-01,1.064242298489289362e-01,3.002459641068391250e-01
8.246492985971944911e-01,2.347198296026004327e-01,1.173022730725637175e-01,3.045558913231956599e-01
8.290581162324650588e-01,2.683398341183114155e-01,1.269745644093474568e-01,3.080680846811786333e-01
8.334669338677356265e-01,3.136952854826511317e-01,1.408726992769398501e-01,3.116330680130687258e-01
8.378757515030059722e-01,3.384138613339874868e-01,1.445793072503785137e-01,3.138946067199032686e-01
8.422845691382765398e-01,3.479935569898621184e-01,1.420897856348364852e-01,3.161999227453828332e-01
8.466933867735471075e-01,3.575715550404682808e-01,1.420479900966668818e-01,3.196754141044262365e-01
8.511022044088176752e-01,3.670622315458323404e-01,1.450574192421284769e-01,3.244011339996961119e-01
8.555110220440882429e-01,3.744797841055476084e-01,1.508339904715636504e-01,3.305136912941900595e-01
8.599198396793588106e-01,3.751467762261136984e-01,1.566232559833987403e-01,3.378705564387797233e-01
8.643286573146293783e-01,3.738221963001759351e-01,1.642313481496013305e-01,3.462734299795650061e-01
8.687374749498999460e-01,3.702307978310261372e-01,1.726637590176101633e-01,3.553545701554181035e-01
8.731462925851705137e-01,3.652706489679358737e-01,1.816591773088361284e-01,3.647899324220810202e-01
8.775551102204408593e-01,3.657971566940135810e-01,1.958452272019000073e-01,3.744912035997911559e-01
8.819639278557114270e-01,3.642238082763417650e-01,2.094053409763922124e-01,3.841722000696285999e-01
8.863727454909819947e-01,3.552252091793425270e-01,2.167921856033022399e-01,3.933298937571707565e-01
8.907815631262525624e-01,3.465076306100550174e-01,2.238132128742842675e-01,4.022668336089313956e-01
8.951903807615231301e-01,3.376049402289137968e-01,2.296780681372347366e-01,4.106923041225000737e-01
8.995991983967936978e-01,3.291222945373256659e-01,2.349780630798987968e-01,4.186944192991022828e-01
9.040080160320642655e-01,3.212064627210099998e-01,2.397807562656058544e-01,4.261763683198168118e-01
9.084168336673348332e-01,3.134757981751531974e-01,2.435967011610003508e-01,4.332276624816157606e-01
9.128256513026051788e-01,3.053581066281154666e-01,2.458573866500480820e-01,4.397575093772638777e-01
9.172344689378757465e-01,2.973291647913826607e-01,2.470361759339922414e-01,4.458313109935881369e-01
9.216432865731463142e-01,2.901904690112619978e-01,2.479722932042250083e-01,4.516297525401278268e-01
9.260521042084168819e-01,2.841803469755791456e-01,2.489860790816998126e-01,4.572192743163354112e-01
9.304609218436874496e-01,2.788159162169742689e-01,2.497294479943178991e-01,4.626401202674366719e-01
9.348697394789580173e-01,2.753372014549450020e-01,2.513660230507818727e-01,4.681262651059467372e-01
9.392785571142285850e-01,2.721194883948265253e-01,2.525756416961105200e-01,4.734012193575651284e-01
9.436873747494991527e-01,2.695696995041436117e-01,2.535860284512850837e-01,4.784866979790499131e-01
9.480961923847697204e-01,2.670017610936753494e-01,2.540567222092002808e-01,4.833676733256794256e-01
9.525050100200400660e-01,2.644750549520599181e-01,2.543416599807998835e-01,4.880944764324425811e-01
9.569138276553106337e-01,2.620935355545091494e-01,2.546149700544477756e-01,4.927899897881530822e-01
9.613226452905812014e-01,2.594942979696546193e-01,2.543528325976044946e-01,4.973744468059539958e-01
9.657314629258517691e-01,2.562538444687045280e-01,2.529911040150959467e-01,5.017676568862070585e-01
9.701402805611223368e-01,2.531860432362424418e-01,2.514904741737151728e-01,5.060781180466803475e-01
9.745490981963929045e-01,2.495272927925024087e-01,2.490100369481263731e-01,5.102617807661123939e-01
9.789579158316634722e-01,2.460414037712284618e-01,2.465324122951056129e-01,5.144386170932058189e-01
9.833667334669340399e-01,2.428768247487957943e-01,2.445152291632921027e-01,5.186469857317606014e-01
9.877755511022043855e-01,2.398184861255605593e-01,2.427576186704391847e-01,5.228801574423108667e-01
9.921843687374749532e-01,2.367387305596139746e-01,2.409607316491088613e-01,5.271082846582146875e-01
9.965931863727455209e-01,2.336533132407841717e-01,2.390177004537464567e-01,5.313084042268158003e-01
1.001002004008016089e+00,2.305283220990473614e-01,2.371097016317783579e-01,5.355287146481673144e-01
1.005410821643286656e+00,2.271792988645495170e-01,2.355121757415827577e-01,5.398552105295064685e-01
1.009819639278557224e+00,2.238831209449290149e-01,2.339293717196177236e-01,5.441789562013911175e-01
1.014228456913827792e+00,2.206704513773055099e-01,2.324167416111149742e-01,5.485001413697214723e-01
1.018637274549098359e+00,2.174932913859934092e-01,2.309149465701990922e-01,5.528273072161717927e-01
1.023046092184368927e+00,2.143926627709620003e-01,2.295114307220009753e-01,5.571586127373894248e-01
1.027454909819639273e+00,2.113583146235781529e-01,2.281929844359434356e-01,5.614791081309608023e-01
1.031863727454909840e+00,2.084272454439333178e-01,2.270007794676068835e-01,5.657898647342530785e-01
1.036272545090180408e+00,2.056078475879267453e-01,2.258942999905507731e-01,5.700479105105377142e-01
1.040681362725450976e+00,2.027804582199332073e-01,2.247273512248076088e-01,5.742657677650361281e-01
1.045090180360721543e+00,2.000316441946086432e-01,2.236482333759385877e-01,5.784612116220554379e-01
1.049498997995992111e+00,1.972879544844970690e-01,2.225395840964832228e-01,5.826338613293704505e-01
1.053907815631262679e+00,1.947193741197114636e-01,2.216618136609682932e-01,5.867647219472118536e-01
1.058316633266533247e+00,1.921914402728551186e-01,2.208281919864082121e-01,5.908588687955197427e-01
1.062725450901803592e+00,1.897078165134432060e-01,2.200490150670883771e-01,5.949231557361618350e-01
1.067134268537074160e+00,1.872801233200907522e-01,2.193398506168859341e-01,5.989556792532401142e-01
1.071543086172344728e+00,1.849136554222659545e-01,2.187217802715198667e-01,6.029662086382643338e-01
1.075951903807615295e+00,1.826084509689689939e-01,2.181995980826032244e-01,6.069491040956984662e-01
